BaitUnit,Protein,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
Treat_TMEMV5,A2M,0.9815975227777658,4.1698036767648384e-11,0.018402477179554507,5.789256068876065,7.2365700861392535,8.68388410336632,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,3.0,0.03162277660168379
Treat_TMEMmyc,A2M,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,2.0,0.03162277660168379
Treat_TMEMV5,A2ML1,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,1.0,0.03162277660168379
Treat_TMEMmyc,A2ML1,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
Treat_TMEMmyc,AAAS,1.0116101451593869e-07,2.0070297963671162e-13,0.9999998988377847,6.335755677368679,7.9196945967109125,9.503633516176231,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,29.0,27.0,0.03162277660168379
Treat_TMEMV5,AAAS,4.823971223619186e-06,1.541655664649708e-12,0.9999951760262346,5.789256068911339,7.2365700861392535,8.683884103467774,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,22.0,23.0,0.03162277660168379
Treat_TMEMV5,AACS,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,1.0,0.03162277660168379
Treat_TMEMmyc,AACS,0.9954274374145274,1.4431768765543875e-11,0.0045725625700453725,6.335755677320629,7.9196945967109125,9.503633516052895,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,3.0,0.0,0.03162277660168379
Treat_TMEMmyc,AAK1,0.0005043250956079625,9.22870896394241e-12,0.9994956748941638,6.335755677368735,7.9196945967109125,9.503633516106328,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,22.0,13.0,0.03162277660168379
Treat_TMEMV5,AAK1,0.034835019550115684,8.214449177729426e-11,0.9651649803667747,5.78925606891351,7.2365700861392535,8.683884103386946,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,17.0,6.0,0.03162277660168379
