rank,Protein,BaitUnit,gamma3,pi1,pi2,pi3,rep1,rep2,gamma3_avg,FDR
1,ABCD3,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,83.0,76.0,0.9999999999989999,1.000088900582341e-12
1,ABCD3,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,89.0,86.0,0.9999999999989999,1.000088900582341e-12
1,ABCE1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,71.0,60.0,0.9999999999989999,1.000088900582341e-12
1,ABCE1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,66.0,57.0,0.9999999999989999,1.000088900582341e-12
1,ABCF2,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,65.0,65.0,0.9999999999989999,1.000088900582341e-12
1,ABCF2,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,61.0,62.0,0.9999999999989999,1.000088900582341e-12
1,ACACA,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,95.0,54.0,0.9999999999989999,1.000088900582341e-12
1,ACACA,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,100.0,74.0,0.9999999999989999,1.000088900582341e-12
1,ACLY,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,143.0,99.0,0.9999999999989999,1.000088900582341e-12
1,ACLY,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,159.0,127.0,0.9999999999989999,1.000088900582341e-12
1,ACTC1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,101.0,103.0,0.9999999999989999,1.000088900582341e-12
1,ACTC1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,99.0,91.0,0.9999999999989999,1.000088900582341e-12
1,ACTG1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,195.0,200.0,0.9999999999989999,1.000088900582341e-12
1,ACTG1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,243.0,220.0,0.9999999999989999,1.000088900582341e-12
1,AFDN,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,78.0,49.0,0.9999999999989999,1.000088900582341e-12
1,AFDN,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,106.0,71.0,0.9999999999989999,1.000088900582341e-12
1,AKAP9,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,92.0,74.0,0.9999999999989999,1.000088900582341e-12
1,AKAP9,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,125.0,100.0,0.9999999999989999,1.000088900582341e-12
1,ALDH18A1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,108.0,93.0,0.9999999999989999,1.000088900582341e-12
1,ALDH18A1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,103.0,94.0,0.9999999999989999,1.000088900582341e-12
1,AMOT,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,93.0,53.0,0.9999999999989999,1.000088900582341e-12
1,AMOT,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,129.0,79.0,0.9999999999989999,1.000088900582341e-12
1,AP1B1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,69.0,57.0,0.9999999999989999,1.000088900582341e-12
1,AP1B1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,76.0,65.0,0.9999999999989999,1.000088900582341e-12
1,AP2B1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,81.0,55.0,0.9999999999989999,1.000088900582341e-12
1,AP2B1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,83.0,73.0,0.9999999999989999,1.000088900582341e-12
1,AP3B1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,63.0,48.0,0.9999999999989999,1.000088900582341e-12
1,AP3B1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,65.0,47.0,0.9999999999989999,1.000088900582341e-12
1,ARF1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,101.0,81.0,0.9999999999989999,1.000088900582341e-12
1,ARF1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,100.0,80.0,0.9999999999989999,1.000088900582341e-12
1,ARF4,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,77.0,65.0,0.9999999999989999,1.000088900582341e-12
1,ARF4,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,73.0,58.0,0.9999999999989999,1.000088900582341e-12
1,ARF5,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,84.0,64.0,0.9999999999989999,1.000088900582341e-12
1,ARF5,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,79.0,61.0,0.9999999999989999,1.000088900582341e-12
1,ARID1A,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,59.0,47.0,0.9999999999989999,1.000088900582341e-12
1,ARID1A,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,86.0,70.0,0.9999999999989999,1.000088900582341e-12
1,ASCC3,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,71.0,49.0,0.9999999999989999,1.000088900582341e-12
1,ASCC3,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,81.0,70.0,0.9999999999989999,1.000088900582341e-12
1,ATAD3A,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,92.0,133.0,0.9999999999989999,1.000088900582341e-12
1,ATAD3A,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,143.0,139.0,0.9999999999989999,1.000088900582341e-12
1,ATAD3B,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,89.0,123.0,0.9999999999989999,1.000088900582341e-12
1,ATAD3B,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,124.0,120.0,0.9999999999989999,1.000088900582341e-12
1,ATP1A1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,82.0,79.0,0.9999999999989999,1.000088900582341e-12
1,ATP1A1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,77.0,72.0,0.9999999999989999,1.000088900582341e-12
1,ATP2A2,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,111.0,89.0,0.9999999999989999,1.000088900582341e-12
1,ATP2A2,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,91.0,91.0,0.9999999999989999,1.000088900582341e-12
